kilo-Electron Volt [keV],Counts
5.830,81.573
5.840,61.146
5.850,77.719
5.860,95.291
5.870,76.864
5.880,80.437
5.890,114.01
5.900,74.583
5.910,30.156
5.920,81.593
5.930,95.03
5.940,91.467
5.950,69.905
5.960,79.342
5.970,82.779
5.980,85.216
5.990,59.653
6.000,57.09
6.010,106.53
6.020,118.96
6.030,90.402
6.040,115.84
6.050,111.28
6.060,68.714
6.070,107.17
6.080,94.628
6.090,79.085
6.100,88.543
6.110,108
6.120,147.46
6.130,105.91
6.140,109.37
6.150,122.83
6.160,120.29
6.170,118.74
6.180,171.2
6.190,195.66
6.200,231.12
6.210,260.57
6.220,375.03
6.230,521.49
6.240,689.94
6.250,920.4
6.260,1245.9
6.270,1843.3
6.280,2475.8
6.290,3231.2
6.300,4215.7
6.310,5252.2
6.320,6408.8
6.330,8054.3
6.340,9383.9
6.350,10723
6.360,12146
6.370,13475
6.380,14176
6.390,14571
6.400,14858
6.410,14797
6.420,14261
6.430,13445
6.440,12523
6.450,11085
6.460,9560.4
6.470,7940.9
6.480,6814.5
6.490,5388
6.500,4282.6
6.510,3237.1
6.520,2532.7
6.530,1891.2
6.540,1376.8
6.550,955.35
6.560,692.91
6.570,474.47
6.580,369.04
6.590,291.6
6.600,192.16
6.610,175.72
6.620,140.29
6.630,109.85
6.640,118.41
6.650,92.975
6.660,86.538
6.670,110.1
6.680,98.663
6.690,88.226
6.700,96.789
6.710,66.352
6.720,95.894
6.730,108.44
6.740,78.98
6.750,50.523
6.760,112.97
6.770,100.43
6.780,132.88
6.790,147.33
6.800,134.78
6.810,132.24
6.820,124.69
6.830,132.14
6.840,108.59
6.850,166.05
6.860,151.5
6.870,163.95
6.880,175.4
6.890,226.85
6.900,264.31
6.910,234.76
6.920,351.21
6.930,471.66
6.940,541.12
6.950,702.57
6.960,828.02
6.970,924.47
6.980,1123.9
6.990,1270.4
7.000,1423.8
7.010,1577.3
7.020,1768.7
7.030,1872.2
7.040,1919.6
7.050,2035.1
7.060,2106.5
7.070,1957
7.080,1794.5
7.090,1771.9
7.100,1654.4
