kilo-Electron Volt [keV],Counts
7.141,84.322
7.151,86.497
7.161,68.673
7.171,74.849
7.181,85.025
7.191,53.201
7.201,76.377
7.211,81.553
7.221,57.729
7.231,40.905
7.241,112.08
7.251,66.256
7.261,92.432
7.271,79.608
7.281,65.784
7.291,77.96
7.301,54.136
7.311,93.312
7.321,88.487
7.331,87.663
7.341,69.839
7.351,99.015
7.361,55.191
7.371,85.367
7.381,102.54
7.391,66.799
7.401,98.085
7.411,108.37
7.421,90.658
7.431,82.98
7.441,73.302
7.451,82.623
7.461,91.945
7.471,123.27
7.481,100.59
7.491,130.91
7.501,84.231
7.511,96.553
7.521,91.874
7.531,52.196
7.541,76.518
7.551,91.839
7.561,101.16
7.571,57.482
7.581,49.804
7.591,71.126
7.601,79.447
7.611,75.769
7.621,38.09
7.631,53.412
7.641,56.734
7.651,42.055
7.661,43.377
7.671,47.698
7.681,47.02
7.691,63.482
7.701,66.945
7.711,31.407
7.721,41.859
7.731,61.312
7.741,40.764
7.751,45.216
7.761,90.668
7.771,72.121
7.781,59.573
7.791,31.025
7.801,50.457
7.811,52.889
7.821,55.322
7.831,46.754
7.841,58.186
7.851,44.618
7.861,44.05
7.871,68.482
7.881,55.915
7.891,43.347
7.901,50.779
7.911,19.211
7.921,76.558
7.931,84.905
7.941,53.251
7.951,79.598
7.961,51.945
7.971,56.291
7.981,95.638
7.991,57.985
8.002,64.332
8.012,54.678
8.022,51.025
8.032,72.372
8.042,79.719
8.052,95.065
8.062,47.412
8.072,35.759
8.082,80.106
8.092,78.452
8.102,49.799
8.112,77.146
8.122,53.492
8.132,83.839
8.142,89.186
8.152,56.533
8.162,65.879
8.172,38.226
8.182,74.573
8.192,50.92
8.202,66.266
8.212,73.613
8.222,90.96
8.232,78.307
8.242,67.653
8.252,51
8.262,68.347
8.272,72.693
8.282,73.04
8.292,60.387
8.302,78.734
8.312,107.08
8.322,65.427
8.332,63.774
8.342,64.121
8.352,45.467
8.362,61.814
8.372,53.161
8.382,59.508
8.392,74.854
